ALDE,PNL,PSD,UDMR,USR,PER,ANR,PSR,PMP,PRM,PRU,Ddinu,PRD,Ssova,Icurelea,PV,NRadulescu,DFlucus,Mion,PPUSL,TManescu,Enicolache,Vrevnic,Gdinu,Tjalba,Cmarin,Ngalatanu,PACT,PNR,Icalinoiu,Vzamfir,Gbledea,Cneacsu,Dpepene,Ispiridon,Sburduja,Ifenichiu,Ccioban,Apaziuc,PBUN,Nzarhacu,Schelmu,RoRadulescu,Dcornoiu,PVN,Gduta,Gmanciu,Ilinta,Eudrea,Lardelean,Dvreme,ReRadulescu,Rbarna,Pfolica,Tpaleologu,Rcernea,Vbalan
11548,31587,102233,560,15244,3074,2508,1258,8922,1806,5504,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1687,357,465,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2410,-1,-1,-1,-1,-1,-1
8726,10034,62641,146,2575,743,307,248,2402,738,1474,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,344,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7840,20497,65501,913,4788,0,619,898,7804,1740,5469,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,244,3457,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
806,3320,8950,99375,1304,357,0,0,715,513,663,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8817,35033,85825,4714,7805,2481,847,1234,6157,2346,4222,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4505,15307,47929,100,3612,526,378,583,3981,0,2273,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13368,49343,119253,334,23966,3790,3037,2216,16179,3487,7220,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7709,39019,52950,176,17944,0,1432,621,7273,0,3091,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,870,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6077,28255,54326,8780,9624,3409,701,0,10795,0,5300,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,474,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7404,17642,61280,279,2797,280,256,480,3213,850,2531,-1,0,-1,-1,0,-1,-1,-1,409,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5149,25284,47267,68564,10602,875,998,0,7272,1817,6537,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,894,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7904,33415,86910,213,7269,0,1673,0,7466,2789,4655,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,515,-1,-1,-1,-1,2031,899,6430,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9561,28068,114624,189,5137,681,446,515,6280,1498,2713,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25554,57003,111614,329,22304,3303,2140,0,14607,4105,10760,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1750,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5490,16278,31087,42957,3375,546,422,0,2979,493,2543,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4295,22513,24254,21189,4498,0,421,0,2987,0,2755,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4998,53398,38100,2559,19000,1541,1809,318,5527,1092,3454,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11882,55713,101839,477,8502,2430,2231,0,8981,2638,4790,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1077,3142,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8635,27924,88882,204,4545,860,0,564,5520,979,3482,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,265,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12608,54189,75077,8316,26827,2846,2270,436,12060,2751,4690,-1,0,-1,-1,0,-1,-1,-1,1227,-1,-1,-1,-1,-1,-1,-1,0,467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,358,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,636,574,381,-1,-1,-1
4038,12506,32918,245,3552,0,639,517,4810,1017,1935,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1659,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6895,24640,70432,380,5262,885,694,722,6260,1536,3218,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1259,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8673,25057,71871,458,6956,909,583,928,5066,1807,4097,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,2632,843,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6346,25542,65423,126,6828,749,990,879,6259,1198,2103,-1,0,-1,-1,274,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,511,1425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44407,85766,274445,1437,180362,7659,12237,2109,51423,7771,24886,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,1512,477,3174,-1,-1,-1,-1,-1,8352,4295,1770
3131,28254,10849,2542,31461,0,2199,0,25254,0,3953,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
